n,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,Merge Sort
1,419500,136400,262900,68800,159200
2,421600,144900,222100,84600,192400
3,470600,140800,231600,57800,58300
4,425600,105900,157800,50500,26400
5,378100,139400,337300,26000,109500
6,516900,153700,200700,14800,48100
7,600800,367000,201800,14800,30100
8,580500,441700,3814000,15000,38600
9,825200,131900,232100,15200,40200
10,331100,246600,350200,17000,31700
11,403900,129600,192200,60500,40100
12,552800,279000,437300,17600,36800
13,175100,124600,189900,19000,43500
14,92400,142100,87100,17100,32700
15,66800,140900,86500,14400,60000
16,75900,131800,89000,14100,28800
17,158500,138000,61000,158100,33300
18,98300,117500,163200,17900,86100
19,67300,388800,57800,17800,33300
20,77900,195800,49500,16000,34100
21,164700,134700,64500,20000,31600
22,80600,109800,45800,15300,34700
23,72800,164400,49800,18300,67000
24,254400,164100,590200,18400,26300
25,74200,556300,51800,18400,24800
26,182600,34900,124400,18100,23800
27,75800,40100,51300,15400,22500
28,243300,36300,115900,17600,49600
29,77900,33400,50100,16800,21500
30,169200,38300,1636900,18200,18200
31,29800,34400,50300,334500,21500
32,26500,20500,13800,44800,21600
33,4355900,22800,12500,19500,40600
34,28000,31000,13600,14700,22800
35,26300,28900,13400,16500,22300
36,29500,31400,14500,15800,22600
37,35300,35800,14900,16600,21600
38,28500,28800,14500,14400,27300
39,25700,24300,13300,12700,21800
40,33000,54500,13200,13000,21900
41,26400,27000,12300,13200,19200
42,24100,25100,12500,12500,19600
43,32300,30800,14100,13500,19800
44,27900,30200,14800,15000,23300
45,27400,30200,14100,15900,26200
46,29500,32100,15500,15800,21500
47,30800,37000,16200,18400,21900
48,29300,36500,13900,14600,19800
49,27700,31300,15200,14100,1066700
50,26500,24800,13600,14000,23700
51,52300,53700,12200,14800,31000
52,52000,25700,11300,12600,22600
53,24300,29600,13200,14500,552900
54,27700,29500,12500,13500,22500
55,23400,24100,25000,16300,21700
56,28000,38000,12300,165500,21900
57,27200,27100,14600,13800,21400
58,27300,25700,13700,14900,23200
59,30600,39600,14600,14600,25200
60,28900,31200,15700,16300,37100
61,37200,37400,16600,23200,21000
62,28000,34100,16500,16100,22100
63,30200,35700,15900,14400,27500
64,30600,30500,15800,16600,21300
65,29900,31600,15100,15800,23800
66,34600,37100,16800,16600,21000
67,27400,35800,15600,16100,19300
68,28400,31100,15600,14300,23300
69,29400,34400,16500,16200,17900
70,28500,33600,15900,14600,20600
71,28100,35900,15500,16000,20300
72,27300,37400,15400,15900,19900
73,29400,35200,16100,15400,19600
74,28600,32900,17200,15200,20400
75,28300,37800,15900,16500,21300
76,28700,30600,16200,16400,21000
77,26400,30000,15500,48400,20900
78,27400,34600,15700,15500,20400
79,26700,32000,15400,15100,20600
80,27900,38600,16300,14800,20900
81,29800,28000,15600,14200,16700
82,27600,29300,13200,12900,18600
83,26900,34000,15100,15200,19800
84,29200,29200,14900,14800,21100
85,28800,40200,16000,17300,22400
86,28100,29600,32800,12900,19200
87,26600,22900,11500,13000,18500
88,25200,26200,12100,12200,19600
89,27700,24300,12900,12500,24900
90,26400,23700,11400,17100,3149900
91,29200,36300,14500,17300,24000
92,34100,32300,14700,17200,24800
93,28500,29600,14700,16100,41700
94,27400,31000,14000,16200,20900
95,27700,36000,13000,14700,21400
96,28600,30500,15400,15600,20400
97,28100,31500,15500,14700,22900
98,27900,37000,16300,15000,20100
99,30300,28200,15600,15500,21200
100,28700,32200,15900,16400,20100
101,46700,67000,16300,16800,22300
102,29300,32500,15700,16600,23800
103,28600,31300,16700,15700,74900
104,30000,41400,16100,16300,21700
105,29600,32200,16600,17100,21200
106,30900,43700,16200,15400,21400
107,29600,34800,16300,17100,21000
108,30600,34800,16100,16900,20900
109,31000,48300,15900,16600,26100
110,29100,33700,14700,14500,22700
111,28200,35500,16000,15000,20300
112,30100,39700,17200,14700,20500
113,29300,27800,15900,14700,19900
114,29000,31900,16200,15400,20000
115,28000,30600,16000,17200,21000
116,28400,29800,15500,15700,22800
117,29300,31700,14100,19100,26500
118,36500,103700,15500,19900,19700
119,29300,31200,15400,14600,21700
120,29000,81600,15200,15600,20800
121,27700,38000,15400,15800,24200
122,29000,32600,15900,14000,17900
